Teenager,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
130,74,76,56,49,28,80,75
131,99,43,93,110,52,61,46
132,76,70,46,84,59,68,72
133,41,64,110,78,39,75,64
134,52,106,77,69,70,98,58
135,83,81,97,66,73,91,80
136,61,66,58,85,49,68,71
137,51,48,63,58,73,137,73
138,83,84,99,119,112,100,75
139,59,99,36,54,99,60,101
140,82,40,77,70,110,79,72
141,81,79,80,80,80,77,89
142,49,120,69,91,95,58,82
143,70,84,119,37,46,78,68
144,37,72,82,37,86,80,71
145,122,88,55,107,59,93,79
146,44,84,78,62,68,106,63
147,88,114,90,67,85,48,98
148,68,65,83,63,61,71,117
149,87,21,69,68,56,72,69
150,108,65,82,61,70,97,92
151,60,111,57,32,84,103,104
152,52,24,48,38,36,94,111
153,103,85,85,52,50,97,106
154,29,81,104,74,89,60,65
155,76,101,106,79,53,48,112
156,39,65,51,110,81,80,92
157,63,79,81,77,77,74,70
158,87,109,66,46,90,78,44
159,83,78,55,97,75,80,80
160,107,79,55,72,83,99,65
161,62,92,54,66,82,107,119
162,84,57,83,79,85,57,74
163,63,64,63,110,78,58,100
164,119,63,82,73,108,98,81
165,115,88,79,62,32,80,85
166,69,78,88,36,62,74,99
167,47,71,82,100,72,58,69
168,81,54,59,52,75,67,79
169,60,100,25,35,97,92,99
170,82,91,47,90,121,89,54
171,73,53,48,64,35,40,63
172,84,62,107,68,11,85,77
173,76,63,55,82,70,70,120
174,98,31,77,69,46,60,59
175,92,59,79,49,73,96,106
176,75,87,58,46,82,101,110
177,75,78,64,105,87,54,104
178,67,68,102,118,91,66,65
179,49,46,96,102,36,60,75
180,80,38,52,48,64,94,56
181,64,64,68,73,31,110,61
182,56,68,75,47,89,95,72
183,110,96,71,40,64,68,58
184,111,89,80,53,79,32,58
185,40,50,84,66,93,85,94
186,66,77,99,106,77,83,86
187,86,60,73,72,54,84,87
188,51,60,81,63,94,79,130
189,50,35,58,75,85,47,66
190,85,66,89,71,71,63,75
191,63,90,62,82,81,82,61
192,89,84,64,33,59,106,86
193,78,63,76,70,82,95,92
194,68,68,98,81,44,63,53
195,76,61,52,91,94,72,89
196,75,58,84,40,84,111,69
197,90,67,78,81,49,72,84
198,67,25,37,79,85,102,31
199,60,48,77,74,26,53,83
200,80,95,90,80,80,120,120
